product_id,product_name,category,brand,supplier_id
1,ProSound Wireless Headphones,Electronics & Accessories,ProSound,1
2,NovaBuds True Wireless Earbuds,Electronics & Accessories,NovaTech,2
3,UltraView 4K Monitor,Electronics & Accessories,UltraView,2
4,ChargePlus 65W USB-C Hub,Electronics & Accessories,ChargePlus,1
5,KeyMaster Mechanical Keyboard,Electronics & Accessories,KeyMaster,1
6,SwiftClick Ergonomic Mouse,Electronics & Accessories,SwiftClick,2
7,SnapShot HD Webcam,Electronics & Accessories,SnapShot,2
8,NovaTech 15in Laptop Sleeve,Electronics & Accessories,NovaTech,1
9,SoundWave Bluetooth Speaker,Electronics & Accessories,SoundWave,2
10,PowerCell 20000mAh Power Bank,Electronics & Accessories,ChargePlus,1
11,SmartLink WiFi 6 Router,Electronics & Accessories,SmartHome,11
12,GlassGuard Screen Protector,Electronics & Accessories,GlassGuard,1
13,NovaCam 360 Security Camera,Electronics & Accessories,NovaTech,11
14,RapidCharge Car Adapter,Electronics & Accessories,ChargePlus,1
15,EchoSmart Smart Speaker,Electronics & Accessories,SmartHome,11
16,ProTab Drawing Tablet,Electronics & Accessories,ProSound,2
17,NexaDrive 1TB SSD,Electronics & Accessories,NovaTech,2
18,ClearVoice USB Microphone,Electronics & Accessories,ProSound,2
19,AirTrack GPS Tracker,Electronics & Accessories,SmartHome,11
20,PixelBright LED Desk Lamp,Electronics & Accessories,SmartHome,11
21,CopperCore Non-Stick Pan,Home & Kitchen,CopperCore,3
22,BlendMaster Pro Blender,Home & Kitchen,BlendMaster,3
23,AeroPress Coffee Maker,Home & Kitchen,AeroPress,4
24,KnifeEdge Chef Set (8pc),Home & Kitchen,KnifeEdge,4
25,ThermoKeep Insulated Bottle,Home & Kitchen,ThermoKeep,3
26,CleanSweep Robot Vacuum,Home & Kitchen,CleanSweep,11
27,FreshLock Meal Prep Containers,Home & Kitchen,FreshLock,3
28,LuxeThread Bamboo Sheet Set,Home & Kitchen,LuxeThread,3
29,AromaZen Essential Oil Diffuser,Home & Kitchen,AromaZen,4
30,CastMaster Dutch Oven,Home & Kitchen,CastMaster,3
31,BrewPerfect Pour-Over Set,Home & Kitchen,BrewPerfect,4
32,GlowBright LED Strip Lights,Home & Kitchen,SmartHome,11
33,AirPure HEPA Air Purifier,Home & Kitchen,AirPure,3
34,WarmTouch Weighted Blanket,Home & Kitchen,LuxeThread,3
35,InstaCook Pressure Cooker,Home & Kitchen,InstaCook,4
36,FoamRest Memory Foam Pillow,Home & Kitchen,FoamRest,3
37,GraniteGrip Cutting Board,Home & Kitchen,KnifeEdge,4
38,NaturalScent Soy Candle Set,Home & Kitchen,AromaZen,4
39,NexaMat Anti-Fatigue Mat,Home & Kitchen,NexaMart,3
40,CrispAir Food Dehydrator,Home & Kitchen,CrispAir,4
41,VitaBoost Multivitamin (90ct),Health & Beauty,VitaBoost,7
42,PureGlow Vitamin C Serum,Health & Beauty,PureGlow,8
43,OmegaCore Fish Oil (60ct),Health & Beauty,VitaBoost,7
44,HydraLux Face Moisturizer,Health & Beauty,HydraLux,8
45,ZenMind Ashwagandha (60ct),Health & Beauty,PureLife,12
46,FlexWrap Resistance Bands Set,Health & Beauty,ActiveGear,5
47,NailPro At-Home Gel Kit,Health & Beauty,NailPro,8
48,LashLux Growth Serum,Health & Beauty,PureGlow,8
49,ProSmile Electric Toothbrush,Health & Beauty,ProSmile,7
50,SunShield SPF 50 Sunscreen,Health & Beauty,PureGlow,8
51,CollagenPlus Powder (30srv),Health & Beauty,VitaBoost,7
52,SleepWell Melatonin Gummies,Health & Beauty,PureLife,12
53,MediCool Ice & Heat Wrap,Health & Beauty,ActiveGear,5
54,DermaClear Acne Patches (72ct),Health & Beauty,HydraLux,8
55,BioBalance Probiotic (30ct),Health & Beauty,PureLife,12
56,SilkSmooth Hair Mask,Health & Beauty,PureGlow,8
57,HydroFlow Tongue Cleaner,Health & Beauty,ProSmile,7
58,MuscleEase Magnesium Spray,Health & Beauty,PureLife,12
59,GlowUp Tinted Moisturizer,Health & Beauty,HydraLux,8
60,CleanBreath Probiotic Mints,Health & Beauty,PureLife,12
61,TrailBlaze Hiking Backpack 45L,Sports & Outdoors,TrailBlaze,6
62,SpeedFlex Running Shoes,Sports & Outdoors,SpeedFlex,5
63,IronCore Adjustable Dumbbell,Sports & Outdoors,IronCore,5
64,YogaZone Premium Mat,Sports & Outdoors,YogaZone,6
65,AquaStrike Swim Goggles,Sports & Outdoors,AquaStrike,5
66,CampNest Ultralight Tent 2P,Sports & Outdoors,CampNest,6
67,PedalPro Cycling Gloves,Sports & Outdoors,PedalPro,5
68,ClimbSafe Chalk Bag,Sports & Outdoors,ClimbSafe,6
69,HydroFlask 32oz Trail Bottle,Sports & Outdoors,HydroFlask,6
70,TrekPole Collapsible Poles,Sports & Outdoors,TrailBlaze,6
71,FitBand Woven Resistance Loop,Sports & Outdoors,YogaZone,5
72,ShockAbsorb Knee Sleeve,Sports & Outdoors,ActiveGear,5
73,NightRun Reflective Vest,Sports & Outdoors,SpeedFlex,5
74,CampFire Compact Cook Set,Sports & Outdoors,CampNest,6
75,PaddleUp Kayak Paddle,Sports & Outdoors,AquaStrike,6
76,PowerJump Jump Rope (speed),Sports & Outdoors,IronCore,5
77,GripTape Lifting Straps,Sports & Outdoors,IronCore,5
78,ArcticCool Cooling Towel,Sports & Outdoors,ArcticCool,6
79,SkyWatch Solar Sports Watch,Sports & Outdoors,SkyWatch,6
80,UltraSole Insole Support,Sports & Outdoors,SpeedFlex,5
81,The Data Mind (Hardcover),"Books, Toys & Media",NexaPress,9
82,Python for Everyone (eBook),"Books, Toys & Media",TechRead,9
83,LegoMaster City Builder Set,"Books, Toys & Media",BrickWorld,10
84,Puzzle Planet 1000pc,"Books, Toys & Media",PuzzleKing,10
85,KidSafe Walkie Talkies,"Books, Toys & Media",KidSafe,10
86,StrategyQuest Board Game,"Books, Toys & Media",GameVault,10
87,MiniDrone Starter Pack,"Books, Toys & Media",SkyWatch,10
88,ArtBlast Craft Kit (age 6+),"Books, Toys & Media",ArtBlast,10
89,ColorMe Watercolor Set,"Books, Toys & Media",ArtBlast,10
90,ScienceBox Experiment Kit,"Books, Toys & Media",SciBox,10
91,ReadAloud Kids Story Set (5),"Books, Toys & Media",NexaPress,9
92,Mindful Living (Paperback),"Books, Toys & Media",NexaPress,9
93,Coding Kangaroo Puzzle Book,"Books, Toys & Media",TechRead,9
94,GlowStars Planetarium Kit,"Books, Toys & Media",SciBox,10
95,RoboKit Jr. Coding Robot,"Books, Toys & Media",SciBox,10
96,FamilyQuiz Trivia Game,"Books, Toys & Media",GameVault,10
97,StickerWorld Mega Pack,"Books, Toys & Media",ArtBlast,10
98,NatureWatch Field Guide,"Books, Toys & Media",NexaPress,9
99,SpinTop Classic Wooden Toy,"Books, Toys & Media",KidSafe,10
100,DreamTunes Musical Keys,"Books, Toys & Media",KidSafe,10
